frame,object_id,x,y,w,h,confidence,class_id,visibility
4481,3,968,364,15,42,1,1,1
4482,3,968,364,15,42,1,1,1
4483,3,967,364,16,42,1,1,1
4484,3,967,365,16,41,1,1,1
4485,3,966,365,17,41,1,1,1
4486,3,966,365,17,42,1,1,1
4487,3,967,365,16,42,1,1,1
4488,3,967,366,15,41,1,1,1
4489,3,967,366,15,41,1,1,1
4490,3,967,367,15,40,1,1,1
4491,3,967,367,15,40,1,1,1
4492,3,966,367,16,40,1,1,1
4493,3,966,367,15,41,1,1,1
4494,3,966,367,15,42,1,1,1
4495,3,966,367,15,42,1,1,1
4496,3,966,368,15,41,1,1,1
4497,3,965,368,15,41,1,1,1
4498,3,965,369,14,40,1,1,1
4499,3,964,369,14,40,1,1,1
4500,3,965,369,13,40,1,1,1
4501,3,965,368,13,41,1,1,1
4502,3,964,369,14,40,1,1,1
4503,3,965,369,13,41,1,1,1
4504,3,965,368,13,41,1,1,1
4505,3,944,364,18,47,1,1,1
4506,3,944,364,18,47,1,1,1
4507,3,944,364,18,48,1,1,1
4508,3,944,363,17,48,1,1,1
4509,3,944,363,17,48,1,1,1
4510,3,944,364,17,47,1,1,1
4511,3,944,365,17,46,1,1,1
4512,3,944,365,17,47,1,1,1
4513,3,944,365,18,47,1,1,1
4514,3,944,365,19,47,1,1,1
4515,3,944,366,19,46,1,1,1
4516,3,944,366,18,46,1,1,1
4517,3,944,366,18,46,1,1,1
4518,3,944,366,18,46,1,1,1
4519,3,943,366,19,46,1,1,1
4520,3,943,367,19,45,1,1,1
4521,3,943,367,19,45,1,1,1
4522,3,943,367,19,46,1,1,1
4523,3,943,367,19,46,1,1,1
4524,3,943,366,20,47,1,1,1
4525,3,942,367,20,46,1,1,1
4526,3,942,367,19,46,1,1,1
4527,3,942,367,19,46,1,1,1
4528,3,942,367,19,46,1,1,1
4529,3,942,367,19,46,1,1,1
4530,3,942,367,18,46,1,1,1
4531,3,942,367,18,46,1,1,1
4532,3,942,367,17,46,1,1,1
4533,3,941,367,19,46,1,1,1
4534,3,941,366,19,47,1,1,1
4535,3,941,366,18,48,1,1,1
4536,3,941,367,18,47,1,1,1
4537,3,941,367,18,47,1,1,1
4538,3,940,368,18,45,1,1,1
4539,3,940,368,18,45,1,1,1
4540,3,940,368,19,45,1,1,1
4541,3,940,367,19,46,1,1,1
4542,3,940,370,18,43,1,1,1
4543,3,941,371,16,41,1,1,1
4544,3,940,372,17,41,1,1,1
4545,3,940,372,16,41,1,1,1
4546,3,941,373,16,42,1,1,1
4547,3,941,373,16,42,1,1,1
4548,3,942,372,16,43,1,1,1
4549,3,942,372,16,43,1,1,1
4550,3,942,373,16,42,1,1,1
4551,3,942,372,16,43,1,1,1
4552,3,942,372,16,43,1,1,1
4553,3,942,372,17,44,1,1,1
4554,3,942,372,17,44,1,1,1
4555,3,942,371,16,45,1,1,1
4556,3,942,371,16,45,1,1,1
4557,3,942,371,17,45,1,1,1
4558,3,941,372,17,44,1,1,1
4559,3,941,371,17,45,1,1,1
4560,3,941,371,17,45,1,1,1
4561,3,940,371,18,46,1,1,1
4562,3,940,371,19,46,1,1,1
4563,3,940,371,19,47,1,1,1
4564,3,940,372,19,47,1,1,1
4565,3,940,372,19,47,1,1,1
4566,3,940,372,19,47,1,1,1
4567,3,940,372,18,47,1,1,1
4597,3,960,377,16,46,1,1,1
